book,lang,source_order,page_n,facs,line_id,source_div_n,source_xml_id,printed_primary,printed_alternate,heading_label,source_heading_text,generated_n,generated_label,generated_source_label,visible_chapter_title,paired_generated_n,issue_codes,image_url
5,la,1708,722,page_images/page-0756.png,spr-lb-5-0756-15,,,XLVII,,De cedrite.,Cap. XLVII. [De cedrite.] Cedrites hoc modo fit:,5.47,De cedrite,Cap. XLVII. [De cedrite.],,5.47,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0756.jp2/full/1200,/0/default.jpg"
5,grc,794,723,page_images/page-0757.png,,48,spr-ch-5.48,μη,,Περὶ πισσίτου οἴνου.,Κεφ. μη΄. [Περὶ πισσίτου οἴνου.],5.48,Περὶ πισσίτου οἴνου,Κεφ. μη΄. [Περὶ πισσίτου οἴνου.],Κεφ. μη΄. [Περὶ πισσίτου οἴνου.],5.48,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0757.jp2/full/1200,/0/default.jpg"
5,la,1709,723,page_images/page-0757.png,,,,XLVIII,,De vino picato.,Cap. XLVIII. [De vino picato.] Picatum vinum,5.48,De vino picato,Cap. XLVIII. [De vino picato.],,5.48,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0757.jp2/full/1200,/0/default.jpg"
5,grc,795,724,page_images/page-0758.png,spr-lb-5-0758-01,49,spr-ch-5.49,μθ,,Περὶ ἀψινθίτου οἴνου.,Κεφ. μθ΄. [Περὶ ἀψινθίτου οἴνου.],5.49,Περὶ ἀψινθίτου οἴνου,Κεφ. μθ΄. [Περὶ ἀψινθίτου οἴνου.],Κεφ. μθ΄. [Περὶ ἀψινθίτου οἴνου.],5.49,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0758.jp2/full/1200,/0/default.jpg"
5,la,1710,724,page_images/page-0758.png,,,,XLIX,,De absinthite vino.,Cap. XLIX. [De absinthite vino.] Absinthites va-,5.49,De absinthite vino,Cap. XLIX. [De absinthite vino.],,5.49,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0758.jp2/full/1200,/0/default.jpg"
5,grc,796,725,page_images/page-0759.png,,50,spr-ch-5.50,ν,,Περὶ ὑσσωπίτου οἴνου.,Κεφ. ν΄. [Περὶ ὑσσωπίτου οἴνου.],5.50,Περὶ ὑσσωπίτου οἴνου,Κεφ. ν΄. [Περὶ ὑσσωπίτου οἴνου.],Κεφ. ν΄. [Περὶ ὑσσωπίτου οἴνου.],5.50,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0759.jp2/full/1200,/0/default.jpg"
5,la,1711,725,page_images/page-0759.png,spr-lb-5-0759-12,,,L,,De hyssopite vino.,Cap. L. [De hyssopite vino.] Hyssopites e cilicio,5.50,De hyssopite vino,Cap. L. [De hyssopite vino.],,5.50,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0759.jp2/full/1200,/0/default.jpg"
5,grc,797,726,page_images/page-0760.png,,51,spr-ch-5.51,να,,Περὶ χαμαιδουίτου οἴνου.,Κεφ. να΄. [Περὶ χαμαιδουίτου οἴνου.],5.51,Περὶ χαμαιδουίτου οἴνου,Κεφ. να΄. [Περὶ χαμαιδουίτου οἴνου.],Κεφ. να΄. [Περὶ χαμαιδουίτου οἴνου.],5.51,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,grc,798,726,page_images/page-0760.png,,52,spr-ch-5.52,νβ,,Περὶ στοιχαδίτου οἴνου.,Κεφ. νβ΄. [Περὶ στοιχαδίτου οἴνου.],5.52,Περὶ στοιχαδίτου οἴνου,Κεφ. νβ΄. [Περὶ στοιχαδίτου οἴνου.],Κεφ. νβ΄. [Περὶ στοιχαδίτου οἴνου.],5.52,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
5,grc,799,726,page_images/page-0760.png,,53,spr-ch-5.53,νγ,,Περὶ ὄξους στοιχαδικοῦ.,Κεφ. νγ΄. [Περὶ ὄξους στοιχαδικοῦ.],5.53,Περὶ ὄξους στοιχαδικοῦ,Κεφ. νγ΄. [Περὶ ὄξους στοιχαδικοῦ.],Κεφ. νγ΄. [Περὶ ὄξους στοιχαδικοῦ.],5.53,,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0760.jp2/full/1200,/0/default.jpg"
