filename,prompt_tokens,candidates_tokens,status,timestamp
b23982500_0002_0553.jp2,829,9415,ok,2026-05-16T13:43:26.207259+00:00
b23982500_0002_0554.jp2,829,7685,ok,2026-05-16T13:43:29.601837+00:00
b23982500_0002_0555.jp2,829,8846,ok,2026-05-16T13:43:48.019685+00:00
b23982500_0002_0557.jp2,829,9755,ok,2026-05-16T13:44:38.090061+00:00
b23982500_0002_0560.jp2,829,6185,ok,2026-05-16T13:44:38.698755+00:00
b23982500_0002_0558.jp2,829,8048,ok,2026-05-16T13:45:38.953016+00:00
b23982500_0002_0561.jp2,829,9056,ok,2026-05-16T13:45:47.126615+00:00
b23982500_0002_0562.jp2,829,10654,ok,2026-05-16T13:45:55.522484+00:00
b23982500_0002_0564.jp2,829,4804,ok,2026-05-16T13:46:28.220194+00:00
b23982500_0002_0565.jp2,829,6212,ok,2026-05-16T13:46:43.217590+00:00
b23982500_0002_0563.jp2,829,9699,ok,2026-05-16T13:46:52.246076+00:00
b23982500_0002_0566.jp2,829,9675,ok,2026-05-16T13:59:30.715339+00:00
b23982500_0002_0567.jp2,829,10201,ok,2026-05-16T13:59:34.790001+00:00
b23982500_0002_0556.jp2,829,9260,ok,2026-05-16T13:59:34.791635+00:00
b23982500_0002_0568.jp2,829,11964,ok,2026-05-16T13:59:44.550562+00:00
b23982500_0002_0559.jp2,829,12966,ok,2026-05-16T13:59:47.606465+00:00
b23982500_0002_0573.jp2,829,4732,ok,2026-05-16T14:00:35.145114+00:00
b23982500_0002_0571.jp2,829,6317,ok,2026-05-16T14:00:39.655828+00:00
b23982500_0002_0570.jp2,829,7940,ok,2026-05-16T14:00:52.317967+00:00
b23982500_0002_0569.jp2,829,12971,ok,2026-05-16T14:01:19.410093+00:00
b23982500_0002_0572.jp2,829,12247,ok,2026-05-16T14:01:30.070941+00:00
b23982500_0002_0576.jp2,829,6887,ok,2026-05-16T14:01:50.129782+00:00
b23982500_0002_0577.jp2,829,4704,ok,2026-05-16T14:01:58.651337+00:00
b23982500_0002_0574.jp2,829,10286,ok,2026-05-16T14:02:03.119747+00:00
b23982500_0002_0578.jp2,829,6476,ok,2026-05-16T14:02:22.106680+00:00
b23982500_0002_0580.jp2,829,4412,ok,2026-05-16T14:02:37.830595+00:00
b23982500_0002_0581.jp2,829,5713,ok,2026-05-16T14:02:47.558527+00:00
b23982500_0002_0583.jp2,829,8313,ok,2026-05-16T14:03:42.980583+00:00
b23982500_0002_0584.jp2,829,7909,ok,2026-05-16T14:03:50.451394+00:00
b23982500_0002_0582.jp2,829,14693,ok,2026-05-16T14:03:59.691496+00:00
b23982500_0002_0585.jp2,829,5119,ok,2026-05-16T14:04:24.984830+00:00
b23982500_0002_0586.jp2,829,5797,ok,2026-05-16T14:04:39.187520+00:00
b23982500_0002_0587.jp2,829,5383,ok,2026-05-16T14:04:46.617272+00:00
b23982500_0002_0588.jp2,829,6397,ok,2026-05-16T14:05:15.959263+00:00
b23982500_0002_0589.jp2,829,7797,ok,2026-05-16T14:05:40.542101+00:00
b23982500_0002_0590.jp2,829,6726,ok,2026-05-16T14:05:41.229316+00:00
b23982500_0002_0591.jp2,829,3388,ok,2026-05-16T14:05:46.671817+00:00
b23982500_0002_0594.jp2,829,6762,ok,2026-05-16T14:06:41.024205+00:00
b23982500_0002_0575.jp2,829,6484,ok,2026-05-16T14:37:31.068301+00:00
b23982500_0002_0593.jp2,829,9613,ok,2026-05-16T14:06:55.143914+00:00
b23982500_0002_0592.jp2,829,12653,ok,2026-05-16T14:07:14.463371+00:00
b23982500_0002_0597.jp2,829,4075,ok,2026-05-16T14:07:31.652994+00:00
b23982500_0002_0579.jp2,829,9440,ok,2026-05-16T14:37:49.772507+00:00
b23982500_0002_0596.jp2,829,11512,ok,2026-05-16T14:08:17.358351+00:00
b23982500_0002_0599.jp2,829,6514,ok,2026-05-16T14:08:25.089057+00:00
b23982500_0002_0598.jp2,829,9882,ok,2026-05-16T14:08:27.387887+00:00
b23982500_0002_0603.jp2,829,5302,ok,2026-05-16T14:09:12.076550+00:00
b23982500_0002_0602.jp2,829,6202,ok,2026-05-16T14:09:16.045159+00:00
b23982500_0002_0600.jp2,829,8489,ok,2026-05-16T14:09:18.574977+00:00
b23982500_0002_0601.jp2,829,12560,ok,2026-05-16T14:09:46.742909+00:00
b23982500_0002_0606.jp2,829,6804,ok,2026-05-16T14:10:11.646547+00:00
b23982500_0002_0607.jp2,829,6017,ok,2026-05-16T14:10:32.820996+00:00
b23982500_0002_0605.jp2,829,11017,ok,2026-05-16T14:10:36.980290+00:00
b23982500_0002_0608.jp2,829,4360,ok,2026-05-16T14:10:49.437990+00:00
b23982500_0002_0604.jp2,829,15894,ok,2026-05-16T14:10:58.014712+00:00
b23982500_0002_0609.jp2,829,7382,ok,2026-05-16T14:11:29.422951+00:00
